#Types Before Cut: 41421
#Types After Cut: 28054
#Search Hits: 0
239	81	61.282	ohhhhh
240	71	61.125	counting
241	280	61.016	yellow
242	20	60.981	givenchy
243	20	60.981	mmg
244	20	60.981	ogod
245	20	60.981	sookie
246	700	60.784	ay
247	284	60.571	paint
248	55	60.558	lebron
249	39	60.444	steroids
250	410	60.296	spend
251	24	60.057	bae
252	338	59.960	loud
253	74	59.546	vroom
254	1195	59.501	smoke
255	36	59.453	illuminati
256	22	59.343	fye
257	22	59.343	skrrt
258	96	59.115	genius
259	76	58.333	versace
260	202	58.229	moon
261	483	58.066	poppin
262	79	58.006	weird
263	19	57.932	bino
264	19	57.932	deluca
265	19	57.932	lawwwddd
266	26	57.679	womp
267	257	57.454	cup
268	62	57.418	obama
269	271	57.173	perfect
270	23	57.171	figg
271	304	57.126	morning
272	2466	56.412	feel
273	21	56.385	yawk
274	32	56.374	choppas
275	10470	55.140	know
276	135	54.951	birthday
277	743	54.949	guess
278	18	54.883	geechi
279	18	54.883	nse
280	66	54.364	winning
281	26	54.338	iggy
282	22	54.293	swaggin
283	1188	54.227	away
284	92	53.970	balling
285	28	53.782	blak
286	20	53.431	controlla
287	448	53.413	bought
288	58	52.272	ambition
289	741	51.895	going
290	64	51.880	trappin
291	17	51.833	cyaan
292	17	51.833	freeband
293	17	51.833	gbe
294	17	51.833	haan
295	17	51.833	muphucka
296	17	51.833	panamera
297	125	51.787	imma
298	150	51.783	camera
299	21	51.422	grr
300	30	51.395	fifteens
301	35	51.125	pluto
302	38	50.960	deh
303	65	50.793	lambo
304	109	50.539	throwing
305	19	50.482	louboutins
306	46	50.366	stunting
307	44	50.304	ohhhhhhhh
308	58	50.216	hallelujah
309	64	50.026	tatted
310	234	49.963	magic
311	212	49.610	beast
312	398	49.352	stupid
313	116	49.325	burnt
314	4412	49.247	time
315	168	48.922	deserve
316	444	48.807	pretty
317	236	48.799	mi
318	16	48.784	diiieee
319	16	48.784	kle
320	16	48.784	mollies
321	16	48.784	thot
322	16	48.784	trukfit
323	16	48.784	yorrrrrk
324	25	48.710	hermes
325	25	48.710	mayweather
326	351	47.831	count
327	1200	47.657	gone
328	40	47.622	cinderella
329	42	47.588	billionaire
330	18	47.538	haaaaaah
331	18	47.538	triller
332	31	47.491	commas
333	314	47.436	stars
334	21	47.418	rarri
335	248	47.366	muh
336	399	47.340	pray
337	101	47.189	hundreds
338	39	46.968	baggage
339	993	46.893	heart
340	143	46.880	monster
341	38	46.321	waan
342	258	46.271	lean
343	305	46.097	hatin
344	32	46.070	facebook
345	25	46.043	yeaaaah
